pageKey,label,path,title,description,keywords,ogTitle,ogDescription,ogImage,twitterTitle,twitterDescription,twitterImage,canonicalUrl,robots,isActive
research,Research & Development,/research,Research & Development Cell | Charotar Education Society,"Promoting faculty and student research, funded projects, scientific publications, symposiums, and innovation laboratories at CES.","ces research, academic research, funded projects, research publications",Research & Development Cell | Charotar Education Society,"Promoting faculty and student research, funded projects, scientific publications, symposiums, and innovation laboratories at CES.",https://cesociety.in/android-chrome-512x512.png,Research & Development Cell | Charotar Education Society,"Promoting faculty and student research, funded projects, scientific publications, symposiums, and innovation laboratories at CES.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/research,"index, follow",TRUE
sitemap,Website Sitemap,/sitemap,HTML Website Sitemap | Charotar Education Society,"Quickly navigate all sections, academic departments, schools, colleges, student services, and resource pages of the CES Society website.","ces sitemap, website navigation, all pages, site index",HTML Website Sitemap | Charotar Education Society,"Quickly navigate all sections, academic departments, schools, colleges, student services, and resource pages of the CES Society website.",https://cesociety.in/android-chrome-512x512.png,HTML Website Sitemap | Charotar Education Society,"Quickly navigate all sections, academic departments, schools, colleges, student services, and resource pages of the CES Society website.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/sitemap,"index, follow",TRUE
social-activity,Social Activity & Outreach,/social-activity,Social Responsibility & Community Outreach | CES Society,"Discover social welfare programs, rural education initiatives, blood donation drives, and community empowerment activities led by CES Society.","ces social activity, csr education, community outreach, community service gujarat",Social Responsibility & Community Outreach | CES Society,"Discover social welfare programs, rural education initiatives, blood donation drives, and community empowerment activities led by CES Society.",https://cesociety.in/assets/images/hero/social-activity.jpeg,Social Responsibility & Community Outreach | CES Society,"Discover social welfare programs, rural education initiatives, blood donation drives, and community empowerment activities led by CES Society.",https://cesociety.in/assets/images/hero/social-activity.jpeg,https://cesociety.in/social-activity,"index, follow",TRUE
student-corner/answer-key,Exam Answer Keys,/student-corner/answer-key,Official Exam Answer Keys & Solutions | Student Corner,"Download official semester examination answer keys, model answers, and question solutions across CES affiliated colleges and courses.","ces answer keys, exam solutions, question paper answer keys, model papers",Official Exam Answer Keys & Solutions | Student Corner,"Download official semester examination answer keys, model answers, and question solutions across CES affiliated colleges and courses.",https://cesociety.in/assets/images/hero/answer-key.jpeg,Official Exam Answer Keys & Solutions | Student Corner,"Download official semester examination answer keys, model answers, and question solutions across CES affiliated colleges and courses.",https://cesociety.in/assets/images/hero/answer-key.jpeg,https://cesociety.in/student-corner/answer-key,"index, follow",TRUE
student-corner/magazine,Student Magazine (Balmitra),/student-corner/magazine,Balmitra & Student Magazines | Charotar Education Society,"Read digital editions of the historic Balmitra magazine and annual student campus publications showcasing essays, poetry, art, and research.","balmitra magazine, ces student magazine, annual magazine, student publications",Balmitra & Student Magazines | Charotar Education Society,"Read digital editions of the historic Balmitra magazine and annual student campus publications showcasing essays, poetry, art, and research.",https://cesociety.in/assets/images/hero/magazine.jpeg,Balmitra & Student Magazines | Charotar Education Society,"Read digital editions of the historic Balmitra magazine and annual student campus publications showcasing essays, poetry, art, and research.",https://cesociety.in/assets/images/hero/magazine.jpeg,https://cesociety.in/student-corner/magazine,"index, follow",TRUE
support/disclosure-policy,Mandatory Disclosure Policy,/support/disclosure-policy,Mandatory Public Disclosure & Accreditations | CES Society,"Public regulatory disclosures, government affiliations, university recognition, NAAC certificates, and statutory reports for CES institutes.","mandatory disclosure, aicte recognition, ugc compliance, naac accreditation",Mandatory Public Disclosure & Accreditations | CES Society,"Public regulatory disclosures, government affiliations, university recognition, NAAC certificates, and statutory reports for CES institutes.",https://cesociety.in/android-chrome-512x512.png,Mandatory Public Disclosure & Accreditations | CES Society,"Public regulatory disclosures, government affiliations, university recognition, NAAC certificates, and statutory reports for CES institutes.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/support/disclosure-policy,"index, follow",TRUE
support/faqs,Frequently Asked Questions,/support/faqs,Frequently Asked Questions (FAQ) | Charotar Education Society,"Find quick answers to common questions regarding admissions, scholarships, hostel facilities, online payments, and student life at CES.","ces faq, admission questions, student help, questions and answers",Frequently Asked Questions (FAQ) | Charotar Education Society,"Find quick answers to common questions regarding admissions, scholarships, hostel facilities, online payments, and student life at CES.",https://cesociety.in/android-chrome-512x512.png,Frequently Asked Questions (FAQ) | Charotar Education Society,"Find quick answers to common questions regarding admissions, scholarships, hostel facilities, online payments, and student life at CES.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/support/faqs,"index, follow",TRUE
support/privacy-policy,Privacy Policy,/support/privacy-policy,Privacy Policy | Charotar Education Society,"How Charotar Education Society collects, uses, protects, and handles your personal data, online admissions information, and donation records.","ces privacy policy, data protection, student data privacy",Privacy Policy | Charotar Education Society,"How Charotar Education Society collects, uses, protects, and handles your personal data, online admissions information, and donation records.",https://cesociety.in/android-chrome-512x512.png,Privacy Policy | Charotar Education Society,"How Charotar Education Society collects, uses, protects, and handles your personal data, online admissions information, and donation records.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/support/privacy-policy,"index, follow",TRUE
support/refund-cancellation-policy,Refund & Cancellation Policy,/support/refund-cancellation-policy,Fee Refund & Donation Cancellation Policy | CES Society,"Official policy regarding student fee refunds, admission cancellations, transaction failures, and charitable donation refund guidelines.","refund policy, admission cancellation, fee refund rules",Fee Refund & Donation Cancellation Policy | CES Society,"Official policy regarding student fee refunds, admission cancellations, transaction failures, and charitable donation refund guidelines.",https://cesociety.in/android-chrome-512x512.png,Fee Refund & Donation Cancellation Policy | CES Society,"Official policy regarding student fee refunds, admission cancellations, transaction failures, and charitable donation refund guidelines.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/support/refund-cancellation-policy,"index, follow",TRUE
support/terms,Terms & Conditions,/support/terms,Terms & Conditions of Service | Charotar Education Society,"Terms, conditions, and user agreement governing your use of Charotar Education Society websites, online payment portals, and digital services.","ces terms and conditions, terms of use, legal policy",Terms & Conditions of Service | Charotar Education Society,"Terms, conditions, and user agreement governing your use of Charotar Education Society websites, online payment portals, and digital services.",https://cesociety.in/android-chrome-512x512.png,Terms & Conditions of Service | Charotar Education Society,"Terms, conditions, and user agreement governing your use of Charotar Education Society websites, online payment portals, and digital services.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/support/terms,"index, follow",TRUE
support/website-terms,Website Terms,/support/website-terms,Website Terms of Use & Disclaimers | CES Society,"Legal guidelines, copyright notices, and terms of use for visitors accessing the official website of Charotar Education Society.","website terms, copyright notices, terms of access",Website Terms of Use & Disclaimers | CES Society,"Legal guidelines, copyright notices, and terms of use for visitors accessing the official website of Charotar Education Society.",https://cesociety.in/android-chrome-512x512.png,Website Terms of Use & Disclaimers | CES Society,"Legal guidelines, copyright notices, and terms of use for visitors accessing the official website of Charotar Education Society.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/support/website-terms,"index, follow",TRUE
